Time (sec),SetpointLivingZone,Text.T
0,16,2.725
900,16,2.7175
1800,16,2.71
2700,16,2.7025
3600,16,2.695
4500,16,2.6875
5400,16,2.68
6300,16,2.6725
7200,16,2.665
8100,16,2.6575
9000,16,2.65
9900,16,2.6425
10800,16,2.635
11700,16,2.6275
12600,16,2.62
13500,16,2.6125
14400,16,2.605
15300,16,2.5975
16200,16,2.59
17100,16,2.5825
18000,16,2.575
18900,16,2.5675
19800,16,2.56
20700,16,2.5525
21600,16,2.545
22500,16,2.5375
23400,16,2.53
24300,16,2.5225
25200,21,2.515
26100,21,2.5075
27000,21,2.5
27900,21,2.49248
28800,21,2.48492
29700,21,2.47732
30600,21,2.46967
31500,21,2.46199
32400,21,2.45427
33300,21,2.44652
34200,21,2.43873
35100,21,2.4309
36000,21,2.42303
36900,21,2.41513
37800,21,2.4072
38700,21,2.39923
39600,21,2.39123
40500,21,2.3832
41400,21,2.37514
42300,21,2.36705
43200,21,2.35893
44100,21,2.35077
45000,21,2.34259
45900,21,2.33438
46800,21,2.32615
47700,21,2.31789
48600,21,2.3096
49500,21,2.30129
50400,21,2.29295
51300,21,2.28459
52200,21,2.27621
53100,21,2.2678
54000,21,2.25938
54900,21,2.25093
55800,21,2.24246
56700,21,2.23397
57600,21,2.22547
58500,21,2.21694
59400,21,2.2084
60300,21,2.19984
61200,21,2.19127
62100,21,2.18268
63000,21,2.17407
63900,21,2.16546
64800,21,2.15683
65700,21,2.14818
66600,21,2.13953
67500,21,2.13086
68400,21,2.12218
69300,21,2.1135
70200,21,2.1048
71100,21,2.0961
72000,21,2.08738
72900,21,2.07867
73800,21,2.06994
74700,21,2.06121
75600,21,2.05247
76500,21,2.04374
77400,21,2.03499
78300,16,2.02625
79200,16,2.0175
80100,16,2.00875
81000,16,2
81900,16,1.99113
82800,16,1.98201
83700,16,1.97267
84600,16,1.96311
85500,16,1.95334
86400,16,1.94337
87300,16,1.93322
88200,16,1.92289
89100,16,1.91239
90000,16,1.90174
90900,16,1.89094
91800,16,1.88
92700,16,1.86894
93600,16,1.85776
94500,16,1.84648
95400,16,1.83511
96300,16,1.82365
97200,16,1.81212
98100,16,1.80053
99000,16,1.78889
99900,16,1.7772
100800,16,1.76549
101700,16,1.75375
102600,16,1.742
103500,16,1.73025
104400,16,1.71851
105300,16,1.7068
106200,16,1.69511
107100,16,1.68347
108000,16,1.67188
108900,16,1.66035
109800,16,1.64889
110700,16,1.63752
111600,21,1.62624
112500,21,1.61506
113400,21,1.604
114300,21,1.59306
115200,21,1.58226
116100,21,1.57161
117000,21,1.56111
117900,21,1.55078
118800,21,1.54062
119700,21,1.53066
120600,21,1.52089
121500,21,1.51133
122400,21,1.50199
123300,21,1.49287
124200,21,1.484
125100,21,1.47538
126000,21,1.46701
126900,21,1.45892
127800,21,1.45111
128700,21,1.44359
129600,21,1.43638
130500,21,1.42947
131400,21,1.42289
132300,21,1.41664
133200,21,1.41074
134100,21,1.40519
135000,21,1.4
135900,21,1.395
136800,21,1.39
137700,21,1.385
138600,21,1.38
139500,21,1.375
140400,21,1.37
141300,21,1.365
142200,21,1.36
143100,21,1.355
144000,21,1.35
144900,21,1.345
145800,21,1.34
146700,21,1.335
147600,21,1.33
148500,21,1.325
149400,21,1.32
150300,21,1.315
151200,21,1.31
152100,21,1.305
153000,21,1.3
153900,21,1.295
154800,21,1.29
155700,21,1.285
156600,21,1.28
157500,21,1.275
158400,21,1.27
159300,21,1.265
160200,21,1.26
161100,21,1.255
162000,21,1.25
162900,21,1.245
163800,21,1.24
164700,16,1.235
165600,16,1.23
166500,16,1.225
167400,16,1.22
168300,16,1.215
169200,16,1.21
170100,16,1.205
171000,16,1.2
171900,16,1.195
172800,16,1.19
173700,16,1.185
174600,16,1.18
175500,16,1.175
176400,16,1.17
177300,16,1.165
178200,16,1.16
179100,16,1.155
180000,16,1.15
180900,16,1.145
181800,16,1.14
182700,16,1.135
183600,16,1.13
184500,16,1.125
185400,16,1.12
186300,16,1.115
187200,16,1.11
188100,16,1.105
189000,16,1.1
189900,16,1.095
190800,16,1.09
191700,16,1.085
192600,16,1.08
193500,16,1.075
194400,16,1.07
195300,16,1.065
196200,16,1.06
197100,16,1.055
198000,21,1.05
198900,21,1.045
199800,21,1.04
200700,21,1.035
201600,21,1.03
202500,21,1.025
203400,21,1.02
204300,21,1.015
205200,21,1.01
206100,21,1.005
207000,21,1
207900,21,0.995
208800,21,0.99
209700,21,0.985
210600,21,0.98
211500,21,0.975
212400,21,0.97
213300,21,0.965
214200,21,0.96
215100,21,0.955
216000,21,0.95
216900,21,0.945
217800,21,0.94
218700,21,0.935
219600,21,0.93
220500,21,0.925
221400,21,0.92
222300,21,0.915
223200,21,0.91
224100,21,0.905
225000,21,0.9
225900,21,0.895
226800,21,0.89
227700,21,0.885
228600,21,0.88
229500,21,0.875
230400,21,0.87
231300,21,0.865
232200,21,0.86
233100,21,0.855
234000,21,0.85
234900,21,0.845
235800,21,0.84
236700,21,0.835
237600,21,0.83
238500,21,0.825
239400,21,0.82
240300,21,0.815
241200,21,0.81
242100,21,0.805
243000,21,0.8
243900,21,0.79505
244800,21,0.790199
245700,21,0.785444
246600,21,0.780784
247500,21,0.776215
248400,21,0.771736
249300,21,0.767345
250200,21,0.763038
251100,16,0.758815
252000,16,0.754672
252900,16,0.750607
253800,16,0.746618
254700,16,0.742703
